Epoch,Training Loss,Validation Loss
0,0.2677261884013812,0.1723247067286418
1,0.12091370043655236,0.11385656291475663
2,0.09002177419761817,0.09535297536506103
3,0.07743384080628554,0.07713652774691582
4,0.07046570566793282,0.07292454718397214
5,0.06329627823084592,0.0763581867974538
6,0.05973731152713299,0.0661090318686687
7,0.05703690964107712,0.06678599248138758
8,0.05282209585731228,0.056181009500645675
9,0.0476807118828098,0.05857049458875106
10,0.04646638430034121,0.0492202014160844
11,0.038113528384516634,0.03842373084850036
12,0.0300386466893057,0.0392802542505356
13,0.027674512838323912,0.03440004791348027
14,0.023162168618291616,0.024928407958493784
15,0.0202963789490362,0.026445960017064445
16,0.018484498548010986,0.018008832174998064
17,0.013335996273284157,0.012419160759936158
18,0.009908495834097267,0.011462885922250839
19,0.009599494840949773,0.008379549002991272
20,0.008318491177633405,0.008293423174808804
21,0.00798252888644735,0.009404289446627865
22,0.006868837314347426,0.007245194113168579
23,0.006651068720966578,0.006044512704158058
24,0.00645254417322576,0.006653298229838793
25,0.005854087276384234,0.006469350021619063
26,0.005738974784811337,0.005386658030777023
27,0.005611494913076361,0.005909408747146909
28,0.005237277988344431,0.005287191481329501
29,0.005084215893099706,0.004926685960246966
30,0.004919532790469626,0.004555732549096529
31,0.004739988947597642,0.004440046148374677
32,0.004206046620383859,0.004385127802379429
33,0.004435536825718979,0.004430462856991933
34,0.004173636413179338,0.004418402041595142
35,0.004327462826234599,0.004009777823319802
36,0.003880795445293188,0.0038224987488669846
37,0.003623074892287453,0.0035165562742174817
38,0.0037499686998004713,0.004014502592886297
39,0.0034655433039491377,0.0037344399875459764
40,0.0034435594314709307,0.0036295938681667815
41,0.0034654213255271315,0.0035034491447731853
42,0.0034522033343091607,0.00306922781209533
